0 Branching ratio for S2O2      Total        1 branches
Lambda        Total        SO/SO
1200.00   0.00E+00   0.00E+00
1201.00   0.00E+00   0.00E+00
1202.00   0.00E+00   0.00E+00
1203.00   0.00E+00   0.00E+00
1204.00   0.00E+00   0.00E+00
1205.00   0.00E+00   0.00E+00
1206.00   0.00E+00   0.00E+00
1207.00   0.00E+00   0.00E+00
1208.00   0.00E+00   0.00E+00
1209.00   0.00E+00   0.00E+00
1210.00   0.00E+00   0.00E+00
1211.00   0.00E+00   0.00E+00
1212.00   0.00E+00   0.00E+00
1213.00   0.00E+00   0.00E+00
1214.00   0.00E+00   0.00E+00
1215.00   0.00E+00   0.00E+00
1216.00   0.00E+00   0.00E+00
1217.00   0.00E+00   0.00E+00
1218.00   0.00E+00   0.00E+00
1219.00   0.00E+00   0.00E+00
1220.00   0.00E+00   0.00E+00
1221.00   0.00E+00   0.00E+00
1222.00   0.00E+00   0.00E+00
1223.00   0.00E+00   0.00E+00
1224.00   0.00E+00   0.00E+00
1225.00   0.00E+00   0.00E+00
1226.00   0.00E+00   0.00E+00
1227.00   0.00E+00   0.00E+00
1228.00   0.00E+00   0.00E+00
1229.00   0.00E+00   0.00E+00
1230.00   0.00E+00   0.00E+00
1231.00   0.00E+00   0.00E+00
1232.00   0.00E+00   0.00E+00
1233.00   0.00E+00   0.00E+00
1234.01   0.00E+00   0.00E+00
1235.01   0.00E+00   0.00E+00
1236.01   0.00E+00   0.00E+00
1237.01   0.00E+00   0.00E+00
1238.01   0.00E+00   0.00E+00
1239.01   0.00E+00   0.00E+00
1240.01   0.00E+00   0.00E+00
1241.01   0.00E+00   0.00E+00
1242.01   0.00E+00   0.00E+00
1243.01   0.00E+00   0.00E+00
1244.01   0.00E+00   0.00E+00
1245.01   0.00E+00   0.00E+00
1246.01   0.00E+00   0.00E+00
1247.01   0.00E+00   0.00E+00
1248.01   0.00E+00   0.00E+00
1249.01   0.00E+00   0.00E+00
1250.01   0.00E+00   0.00E+00
1251.01   0.00E+00   0.00E+00
1252.01   0.00E+00   0.00E+00
1253.01   0.00E+00   0.00E+00
1254.01   0.00E+00   0.00E+00
1255.01   0.00E+00   0.00E+00
1256.01   0.00E+00   0.00E+00
1257.01   0.00E+00   0.00E+00
1258.01   0.00E+00   0.00E+00
1259.01   0.00E+00   0.00E+00
1260.01   0.00E+00   0.00E+00
1261.01   0.00E+00   0.00E+00
1262.01   0.00E+00   0.00E+00
1263.01   0.00E+00   0.00E+00
1264.01   0.00E+00   0.00E+00
1265.01   0.00E+00   0.00E+00
1266.01   0.00E+00   0.00E+00
1267.01   0.00E+00   0.00E+00
1268.01   0.00E+00   0.00E+00
1269.01   0.00E+00   0.00E+00
1270.01   0.00E+00   0.00E+00
1271.01   0.00E+00   0.00E+00
1272.01   0.00E+00   0.00E+00
1273.01   0.00E+00   0.00E+00
1274.01   0.00E+00   0.00E+00
1275.01   0.00E+00   0.00E+00
1276.01   0.00E+00   0.00E+00
1277.01   0.00E+00   0.00E+00
1278.01   0.00E+00   0.00E+00
1279.01   0.00E+00   0.00E+00
1280.01   0.00E+00   0.00E+00
1281.01   0.00E+00   0.00E+00
1282.01   0.00E+00   0.00E+00
1283.01   0.00E+00   0.00E+00
1284.01   0.00E+00   0.00E+00
1285.01   0.00E+00   0.00E+00
1286.01   0.00E+00   0.00E+00
1287.01   0.00E+00   0.00E+00
1288.01   0.00E+00   0.00E+00
1289.01   0.00E+00   0.00E+00
1290.01   0.00E+00   0.00E+00
1291.01   0.00E+00   0.00E+00
1292.01   0.00E+00   0.00E+00
1293.01   0.00E+00   0.00E+00
1294.01   0.00E+00   0.00E+00
1295.01   0.00E+00   0.00E+00
1296.01   0.00E+00   0.00E+00
1297.01   0.00E+00   0.00E+00
1298.01   0.00E+00   0.00E+00
1299.01   0.00E+00   0.00E+00
1300.01   0.00E+00   0.00E+00
1301.01   0.00E+00   0.00E+00
1302.02   0.00E+00   0.00E+00
1303.02   0.00E+00   0.00E+00
1304.02   0.00E+00   0.00E+00
1305.02   0.00E+00   0.00E+00
1306.02   0.00E+00   0.00E+00
1307.02   0.00E+00   0.00E+00
1308.02   0.00E+00   0.00E+00
1309.02   0.00E+00   0.00E+00
1310.02   0.00E+00   0.00E+00
1311.02   0.00E+00   0.00E+00
1312.02   0.00E+00   0.00E+00
1313.02   0.00E+00   0.00E+00
1314.02   0.00E+00   0.00E+00
1315.02   0.00E+00   0.00E+00
1316.02   0.00E+00   0.00E+00
1317.02   0.00E+00   0.00E+00
1318.02   0.00E+00   0.00E+00
1319.02   0.00E+00   0.00E+00
1320.02   0.00E+00   0.00E+00
1321.02   0.00E+00   0.00E+00
1322.02   0.00E+00   0.00E+00
1323.02   0.00E+00   0.00E+00
1324.02   0.00E+00   0.00E+00
1325.02   0.00E+00   0.00E+00
1326.02   0.00E+00   0.00E+00
1327.02   0.00E+00   0.00E+00
1328.02   0.00E+00   0.00E+00
1329.02   0.00E+00   0.00E+00
1330.02   0.00E+00   0.00E+00
1331.02   0.00E+00   0.00E+00
1332.02   0.00E+00   0.00E+00
1333.02   0.00E+00   0.00E+00
1334.02   0.00E+00   0.00E+00
1335.02   0.00E+00   0.00E+00
1336.02   0.00E+00   0.00E+00
1337.02   0.00E+00   0.00E+00
1338.02   0.00E+00   0.00E+00
1339.02   0.00E+00   0.00E+00
1340.02   0.00E+00   0.00E+00
1341.02   0.00E+00   0.00E+00
1342.02   0.00E+00   0.00E+00
1343.02   0.00E+00   0.00E+00
1344.02   0.00E+00   0.00E+00
1345.02   0.00E+00   0.00E+00
1346.02   0.00E+00   0.00E+00
1347.02   0.00E+00   0.00E+00
1348.02   0.00E+00   0.00E+00
1349.02   0.00E+00   0.00E+00
1350.02   0.00E+00   0.00E+00
1351.02   0.00E+00   0.00E+00
1352.02   0.00E+00   0.00E+00
1353.02   0.00E+00   0.00E+00
1354.02   0.00E+00   0.00E+00
1355.02   0.00E+00   0.00E+00
1356.02   0.00E+00   0.00E+00
1357.02   0.00E+00   0.00E+00
1358.02   0.00E+00   0.00E+00
1359.02   0.00E+00   0.00E+00
1360.02   0.00E+00   0.00E+00
1361.02   0.00E+00   0.00E+00
1362.02   0.00E+00   0.00E+00
1363.02   0.00E+00   0.00E+00
1364.02   0.00E+00   0.00E+00
1365.02   0.00E+00   0.00E+00
1366.02   0.00E+00   0.00E+00
1367.02   0.00E+00   0.00E+00
1368.02   0.00E+00   0.00E+00
1369.02   0.00E+00   0.00E+00
1370.03   0.00E+00   0.00E+00
1371.03   0.00E+00   0.00E+00
1372.03   0.00E+00   0.00E+00
1373.03   0.00E+00   0.00E+00
1374.03   0.00E+00   0.00E+00
1375.03   0.00E+00   0.00E+00
1376.03   0.00E+00   0.00E+00
1377.03   0.00E+00   0.00E+00
1378.03   0.00E+00   0.00E+00
1379.03   0.00E+00   0.00E+00
1380.03   0.00E+00   0.00E+00
1381.03   0.00E+00   0.00E+00
1382.03   0.00E+00   0.00E+00
1383.03   0.00E+00   0.00E+00
1384.03   0.00E+00   0.00E+00
1385.03   0.00E+00   0.00E+00
1386.03   0.00E+00   0.00E+00
1387.03   0.00E+00   0.00E+00
1388.03   0.00E+00   0.00E+00
1389.03   0.00E+00   0.00E+00
1390.03   0.00E+00   0.00E+00
1391.03   0.00E+00   0.00E+00
1392.03   0.00E+00   0.00E+00
1393.03   0.00E+00   0.00E+00
1394.03   0.00E+00   0.00E+00
1395.03   0.00E+00   0.00E+00
1396.03   0.00E+00   0.00E+00
1397.03   0.00E+00   0.00E+00
1398.03   0.00E+00   0.00E+00
1399.03   0.00E+00   0.00E+00
1400.03   0.00E+00   0.00E+00
1401.03   0.00E+00   0.00E+00
1402.03   0.00E+00   0.00E+00
1403.03   0.00E+00   0.00E+00
1404.03   0.00E+00   0.00E+00
1405.03   0.00E+00   0.00E+00
1406.03   0.00E+00   0.00E+00
1407.03   0.00E+00   0.00E+00
1408.03   0.00E+00   0.00E+00
1409.03   0.00E+00   0.00E+00
1410.03   0.00E+00   0.00E+00
1411.03   0.00E+00   0.00E+00
1412.03   0.00E+00   0.00E+00
1413.03   0.00E+00   0.00E+00
1414.03   0.00E+00   0.00E+00
1415.03   0.00E+00   0.00E+00
